EMG_Pod01,EMG_Pod02,EMG_Pod03,EMG_Pod04,EMG_Pod05,EMG_Pod06,EMG_Pod07,EMG_Pod08,Timestamp
4, 1, 0, 0, 0, 3, 3, 5, 2021-08-24 19:10:40.375060
-10, -4, -3, 0, -1, -1, 0, -1, 2021-08-24 19:10:40.376062
12, 2, -2, -2, -4, -7, -4, 0, 2021-08-24 19:10:40.377059
-2, -2, 0, -2, -1, -3, -3, -1, 2021-08-24 19:10:40.377059
-2, -2, -2, -1, 0, 0, 0, 2, 2021-08-24 19:10:40.398055
2, 1, 0, -2, -3, -2, -2, -3, 2021-08-24 19:10:40.398055
2, -1, 0, 1, 0, 0, 0, 2, 2021-08-24 19:10:40.404054
-10, -3, -2, -1, -2, 0, -2, -6, 2021-08-24 19:10:40.405056
-2, 0, -1, 0, -2, -2, -3, -5, 2021-08-24 19:10:40.413052
10, 3, 0, -1, 0, 0, 0, 3, 2021-08-24 19:10:40.413052
-3, 0, 1, 0, 3, 1, 0, -1, 2021-08-24 19:10:40.415054
-2, -2, 0, -2, -4, -2, -1, -1, 2021-08-24 19:10:40.415054
-5, -3, 0, -2, -2, 0, -3, -4, 2021-08-24 19:10:40.436052
-6, -3, -1, -2, 0, -2, -3, -1, 2021-08-24 19:10:40.436052
2, -2, 0, 1, 1, 3, -1, -5, 2021-08-24 19:10:40.437049
-3, -1, -2, 0, -2, -3, -2, 0, 2021-08-24 19:10:40.437049
-2, -1, -1, -1, 0, 0, 2, 2, 2021-08-24 19:10:40.449045
-1, -1, -1, 0, -1, 1, 2, -1, 2021-08-24 19:10:40.450047
-8, -3, 0, -3, 0, -1, -2, -1, 2021-08-24 19:10:40.458043
-4, -4, 0, -2, 0, 0, -1, -7, 2021-08-24 19:10:40.458043
8, 2, -1, -1, -2, -4, -1, 5, 2021-08-24 19:10:40.473041
-5, -2, 0, 0, -1, -1, -4, -7, 2021-08-24 19:10:40.474040
-3, 0, -1, -2, -2, -3, -1, -6, 2021-08-24 19:10:40.475043
-3, 1, 0, 0, 1, 1, 2, -2, 2021-08-24 19:10:40.475043
-6, -3, -3, -1, 1, 2, -1, 1, 2021-08-24 19:10:40.495037
