EMG_Pod01,EMG_Pod02,EMG_Pod03,EMG_Pod04,EMG_Pod05,EMG_Pod06,EMG_Pod07,EMG_Pod08,Timestamp
0, 0, 2, 1, 0, 0, -3, 0, 2021-08-18 13:01:36.249371
-2, 0, -1, -1, -2, -3, 0, 1, 2021-08-18 13:01:36.262371
1, -1, 0, 1, 0, 2, 0, -3, 2021-08-18 13:01:36.262371
-1, 0, 0, 0, 1, -1, 0, -1, 2021-08-18 13:01:36.263372
1, -1, 0, 1, 0, 0, 4, 0, 2021-08-18 13:01:36.263372
0, -1, -3, -2, 1, -1, 0, -2, 2021-08-18 13:01:36.300371
-1, 0, 0, -2, -3, -4, -2, -3, 2021-08-18 13:01:36.301371
-1, 0, 0, 1, -2, -1, -1, 0, 2021-08-18 13:01:36.301371
-1, -3, -1, -1, 2, 0, -1, 0, 2021-08-18 13:01:36.304371
-3, -3, -3, -3, -3, -1, -3, 0, 2021-08-18 13:01:36.308371
-1, 1, 0, 1, 0, 0, -1, -1, 2021-08-18 13:01:36.308371
0, 1, 0, -1, 0, 0, 1, -1, 2021-08-18 13:01:36.309371
-2, 0, 0, -2, -4, -2, -2, -2, 2021-08-18 13:01:36.309371
-1, 1, 1, -1, -1, -2, -2, -2, 2021-08-18 13:01:36.322371
-1, -2, -2, -3, 0, -1, 0, -1, 2021-08-18 13:01:36.322371
0, -2, 0, -3, -1, 2, -4, -1, 2021-08-18 13:01:36.323371
-1, -2, -2, 2, 1, 2, 0, -1, 2021-08-18 13:01:36.323371
-1, 1, 0, -1, -1, -2, 1, 1, 2021-08-18 13:01:36.345371
1, -1, -3, -1, -4, -4, 0, -1, 2021-08-18 13:01:36.345371
0, 0, 0, 0, -1, -3, -3, -1, 2021-08-18 13:01:36.345371
-2, -1, 1, 0, 1, 2, -2, -3, 2021-08-18 13:01:36.346371
-1, -1, -3, 0, -1, 2, 2, 1, 2021-08-18 13:01:36.368371
0, 0, -2, -2, 0, -3, -2, -1, 2021-08-18 13:01:36.368371
1, -3, -1, -1, -2, -2, 3, 1, 2021-08-18 13:01:36.368371
-1, -1, -1, -2, 4, 4, -1, 0, 2021-08-18 13:01:36.369371
0, -2, 1, 5, 1, 2, 4, 3, 2021-08-18 13:01:36.382371
-1, 1, -1, 1, 1, 1, 0, 0, 2021-08-18 13:01:36.382371
0, 0, -1, -2, -1, -4, -3, -2, 2021-08-18 13:01:36.383371
0, 1, -1, -2, -2, -1, 0, 0, 2021-08-18 13:01:36.383371
-3, 0, 0, 0, 0, 0, -3, -4, 2021-08-18 13:01:36.405372
0, 1, 2, 0, -1, 0, -4, -1, 2021-08-18 13:01:36.405372
-1, 0, 0, 0, -1, -1, -2, -2, 2021-08-18 13:01:36.405372
-1, -1, 0, 0, -3, -3, -1, 0, 2021-08-18 13:01:36.406371
0, 1, -1, -4, 0, -2, 0, 0, 2021-08-18 13:01:36.428372
0, -1, -1, -1, -2, -2, -2, -1, 2021-08-18 13:01:36.428372
-1, -2, -2, -3, 2, -1, -2, -1, 2021-08-18 13:01:36.428372
0, -2, -2, -4, -2, -2, 1, 0, 2021-08-18 13:01:36.429371
1, -2, -1, -2, -3, 1, 0, 0, 2021-08-18 13:01:36.442372
-2, -2, -1, 0, 1, 4, 0, -1, 2021-08-18 13:01:36.443371
0, 0, -2, 0, -1, -2, 0, -1, 2021-08-18 13:01:36.443371
0, 0, -1, 0, 1, 0, -1, -1, 2021-08-18 13:01:36.443371
-1, -1, 0, -2, 0, -2, -1, -1, 2021-08-18 13:01:36.465371
0, -1, 1, -1, 1, 0, 0, -1, 2021-08-18 13:01:36.465371
0, 0, -1, 2, 1, 5, 1, 1, 2021-08-18 13:01:36.465371
0, -2, 0, 1, -2, -3, -1, -1, 2021-08-18 13:01:36.466373
-1, 0, -2, -1, -3, -4, -2, -3, 2021-08-18 13:01:36.488371
-1, -1, -2, -1, -4, -1, 0, 1, 2021-08-18 13:01:36.488371
-2, -3, -2, 0, 3, -2, 0, -1, 2021-08-18 13:01:36.489373
-1, 1, -2, -2, -2, -1, -1, 1, 2021-08-18 13:01:36.489373
0, 0, -2, -2, 1, -2, -2, -2, 2021-08-18 13:01:36.502371
-1, -2, -4, -2, -2, -1, -2, 0, 2021-08-18 13:01:36.502371
0, 0, -2, 0, -2, 1, 0, -1, 2021-08-18 13:01:36.503371
-1, -2, -1, 2, -1, 0, -1, -4, 2021-08-18 13:01:36.503371
-2, -1, -1, 1, 0, 2, 0, -1, 2021-08-18 13:01:36.524881
-2, 0, -3, -2, -1, -3, -1, 0, 2021-08-18 13:01:36.524881
-1, 0, -1, -1, -1, 0, 0, 1, 2021-08-18 13:01:36.525881
-2, 0, -1, -2, -2, -3, 0, 0, 2021-08-18 13:01:36.525881
0, -1, -2, -1, -2, 0, 0, 1, 2021-08-18 13:01:36.548881
2, -1, -1, 1, 0, 2, 1, -2, 2021-08-18 13:01:36.548881
-1, -2, -3, -1, -2, -2, -2, -1, 2021-08-18 13:01:36.548881
0, -2, -2, -2, -1, 0, -4, -1, 2021-08-18 13:01:36.548881
0, 0, -1, 0, 0, -1, -2, -1, 2021-08-18 13:01:36.562880
1, 0, 0, -1, -2, -2, 2, 0, 2021-08-18 13:01:36.562880
-1, -1, 1, 1, -1, -1, 1, -1, 2021-08-18 13:01:36.562880
0, 1, -2, 0, -2, -2, -1, -1, 2021-08-18 13:01:36.563881
-2, 0, -1, 1, 1, -1, -3, 0, 2021-08-18 13:01:36.584880
-1, 0, 0, -2, -1, -4, -2, -1, 2021-08-18 13:01:36.584880
-2, -1, 0, 1, -3, -3, 1, -3, 2021-08-18 13:01:36.585881
-1, -1, 0, 0, 2, 1, -5, -2, 2021-08-18 13:01:36.585881
1, -1, -1, -4, 2, -1, 7, 4, 2021-08-18 13:01:36.608880
-1, -2, 0, -1, 0, 2, 0, -1, 2021-08-18 13:01:36.608880
0, -1, 0, -2, -1, -2, -4, 0, 2021-08-18 13:01:36.609881
1, -1, -1, 1, -2, -2, 0, 0, 2021-08-18 13:01:36.609881
-1, 0, -1, -1, -1, -3, -6, -1, 2021-08-18 13:01:36.622881
-2, -1, -1, 0, 1, -1, 2, 1, 2021-08-18 13:01:36.622881
-1, -1, -1, -3, -2, 2, 3, -2, 2021-08-18 13:01:36.622881
-1, 0, -1, -4, -4, 0, -2, -2, 2021-08-18 13:01:36.623881
-1, -4, -1, -1, -1, -3, -4, -3, 2021-08-18 13:01:36.644881
-1, -1, -3, -1, -2, 0, 1, -2, 2021-08-18 13:01:36.645880
0, 0, 0, 0, 1, 0, -1, 0, 2021-08-18 13:01:36.645880
-1, 0, -1, 0, 0, -1, 1, -1, 2021-08-18 13:01:36.645880
-2, 0, 0, 0, -1, 0, -5, 0, 2021-08-18 13:01:36.667880
0, -1, -1, -1, -2, -3, -5, -1, 2021-08-18 13:01:36.668882
-1, -1, -2, -3, -2, -4, -3, -3, 2021-08-18 13:01:36.668882
-1, -1, 0, -2, 0, 0, 5, 0, 2021-08-18 13:01:36.668882
0, 1, 1, 0, -2, 1, -3, -3, 2021-08-18 13:01:36.690881
0, 0, 0, 1, 0, -1, 1, 0, 2021-08-18 13:01:36.690881
-1, -1, -2, -2, 0, 1, 0, -1, 2021-08-18 13:01:36.691882
