EMG_Pod01,EMG_Pod02,EMG_Pod03,EMG_Pod04,EMG_Pod05,EMG_Pod06,EMG_Pod07,EMG_Pod08,Timestamp
-11, -7, -5, -1, -1, -1, 0, -2, 2021-08-20 18:14:58.429507
12, 4, -2, 1, 0, 1, 1, 2, 2021-08-20 18:14:58.429507
-10, -3, -1, 1, -1, 1, 1, -2, 2021-08-20 18:14:58.455508
11, 3, -1, -1, 0, -1, -2, -1, 2021-08-20 18:14:58.455508
-2, -5, 2, 0, -2, -4, -2, 0, 2021-08-20 18:14:58.456508
-4, -2, 2, -3, 0, -1, -2, -2, 2021-08-20 18:14:58.456508
7, -4, -6, 0, -1, -1, 1, 0, 2021-08-20 18:14:58.459508
-17, -2, -1, -1, 1, -2, 0, -2, 2021-08-20 18:14:58.459508
4, 3, 4, 1, 0, 1, -2, 0, 2021-08-20 18:14:58.476506
11, -1, -4, -1, -2, -1, -2, 0, 2021-08-20 18:14:58.476506
-3, -1, -3, 1, 0, -1, 1, 0, 2021-08-20 18:14:58.478508
6, -6, -5, -4, -2, -3, -1, -3, 2021-08-20 18:14:58.478508
2, 7, 0, 1, -2, 2, -2, 0, 2021-08-20 18:14:58.490508
-5, -3, 3, -2, -2, -3, 0, -1, 2021-08-20 18:14:58.490508
-5, -1, 1, 0, -1, 0, 0, -2, 2021-08-20 18:14:58.513507
-6, -4, -4, 0, -1, 0, 1, -2, 2021-08-20 18:14:58.514506
9, 0, -1, -1, 0, 1, -3, 1, 2021-08-20 18:14:58.514506
-9, 6, -2, -2, -3, 0, 0, -1, 2021-08-20 18:14:58.515509
-5, -7, 0, 0, -1, -4, -1, -2, 2021-08-20 18:14:58.516508
14, 3, 1, 0, -2, -1, -1, 1, 2021-08-20 18:14:58.516508
-1, -7, -5, 1, -1, -1, 0, 1, 2021-08-20 18:14:58.535512
-4, 2, -1, -1, 1, 1, 0, -1, 2021-08-20 18:14:58.535512
5, -1, 2, -2, -2, -1, -2, 0, 2021-08-20 18:14:58.537511
-8, -5, -4, 0, 0, 1, -1, -1, 2021-08-20 18:14:58.537511
-6, -3, -3, -1, 0, -1, 1, -2, 2021-08-20 18:14:58.549509
10, 8, 5, 0, -1, -3, 0, 0, 2021-08-20 18:14:58.549509
-11, -3, -5, 0, 0, -2, 0, 0, 2021-08-20 18:14:58.575513
14, 7, 5, -1, -2, -2, -3, 1, 2021-08-20 18:14:58.575513
-2, -3, 1, -1, -1, -2, 1, 0, 2021-08-20 18:14:58.576510
5, -1, -4, -1, 1, 0, -2, -2, 2021-08-20 18:14:58.576510
-4, -4, -4, -1, -1, -2, -1, -2, 2021-08-20 18:14:58.579509
-18, -4, -2, 1, -3, 1, 1, -1, 2021-08-20 18:14:58.579509
7, 2, 0, 0, -3, -2, 0, 0, 2021-08-20 18:14:58.596509
9, -3, 4, 1, -3, 1, 0, -4, 2021-08-20 18:14:58.596509
6, 3, 1, -1, -3, 0, -3, 1, 2021-08-20 18:14:58.597508
-6, 0, -4, -3, 0, 1, 0, 0, 2021-08-20 18:14:58.598508
3, 2, 0, -4, -2, -4, -4, -2, 2021-08-20 18:14:58.618508
-4, -10, -1, 0, 0, 0, 0, -1, 2021-08-20 18:14:58.618508
-2, 1, -1, 1, -1, 0, -1, -2, 2021-08-20 18:14:58.619509
-12, -7, -1, -1, -1, -2, -1, -3, 2021-08-20 18:14:58.620509
0, -1, -5, -3, 0, 0, -2, -1, 2021-08-20 18:14:58.634508
-5, 9, 5, -1, 0, -1, -1, 0, 2021-08-20 18:14:58.634508
5, -3, -1, -1, 0, -1, 1, -1, 2021-08-20 18:14:58.639509
-3, -2, -1, 1, -1, 0, -3, -1, 2021-08-20 18:14:58.639509
2, -4, -4, -1, -2, 0, -1, 0, 2021-08-20 18:14:58.655510
-4, -3, -5, -1, -3, -1, -1, -1, 2021-08-20 18:14:58.655510
-3, 0, 0, 0, 1, -1, 0, -1, 2021-08-20 18:14:58.663508
