EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp
-1,-1,-1,-2,-1,-1,-2,-1,2021-08-06 13:28:44.938631
0,1,-1,0,-1,-1,-2,0,2021-08-06 13:28:44.938631
-2,-1,0,-1,-1,0,0,0,2021-08-06 13:28:44.946626
1,1,-2,-1,-1,-2,-2,-1,2021-08-06 13:28:44.946626
-1,0,-1,-2,-1,-1,-1,0,2021-08-06 13:28:44.961626
-1,-2,-1,1,0,0,-2,-3,2021-08-06 13:28:44.961-1,0,0,-1,-1,0,-1,0,-1,0,2021-08-06 13:28:44.962626
-2,-1,-1,-1,-2,-1,0,-2,2021-08-06 13:28:44.962626
-1,-2,-2,-2,0,-1,-3,-1,2021-08-06 13:28:44.975626
-1,-2,-1,0,0,1,-1,-1,2021-08-06 13:28:44.976629
0,0,-1,-1,-2,-3,1,-1,2021-08-06 13:28:44.983628
-1,-1,-2,0,-1,-1,-1,-1,2021-08-06 13:28:44.983628
1,0,-1,-1,0,0,1,-1,2021-08-06 13:28:44.998629
0,-1,1,0,-2,-1,0,-2,2021-08-06 13:28:44.998629
0,-1,-2,-3,1,0,-1,1,2021-08-06 13:28:45.007626
0,-2,-1,-2,0,-1,0,-1,2021-08-06 13:28:45.007626
-1,-1,-2,-1,-2,-1,0,-1,2021-08-06 13:28:45.029627
-1,-1,-2,0,-1,-2,-2,1,2021-08-06 13:28:45.030627
-1,-1,0,-2,-2,-1,0,0,2021-08-06 13:28:45.030627
-1,0,-1,-1,-1,-1,-1,0,2021-08-06 13:28:45.031628
-2,-1,0,-1,-2,-1,-1,1,2021-08-06 13:28:45.052631
0,0,-2,-2,-1,-1,-1,-1,2021-08-06 13:28:45.052631
-1,-1,-1,-1,-2,-1,-1,-1,2021-08-06 13:28:45.053628
-2,-3,-1,-1,-1,0,-1,-1,2021-08-06 13:28:45.053628
-2,-2,-1,0,-1,-1,-1,-1,2021-08-06 13:28:45.058628
0,-1,2,-1,-2,-1,1,-1,2021-08-06 13:28:45.058628
0,1,-2,-1,-1,-1,-1,0,2021-08-06 13:28:45.066630
-1,0,0,-1,0,-1,0,0,2021-08-06 13:28:45.066630
0,-1,-2,0,0,-2,-1,-1,2021-08-06 13:28:45.082628
-1,0,-2,0,-1,-3,-2,0,2021-08-06 13:28:45.082628
-1,-2,-1,-1,0,0,-2,-3,2021-08-06 13:28:45.082628
0,0,0,-1,-2,-1,1,1,2021-08-06 13:28:45.083628
-1,0,0,-1,-2,-3,-1,-1,2021-08-06 13:28:45.096628
-1,0,-1,-1,1,-2,-1,-1,2021-08-06 13:28:45.096628
-2,-2,-1,-1,-1,-1,1,0,2021-08-06 13:28:45.103628
0,-2,0,2,-1,-1,-1,-1,2021-08-06 13:28:45.103628
-3,-1,-1,0,-1,0,-2,-1,2021-08-06 13:28:45.118628
-1,0,0,-1,-2,-1,0,-2,2021-08-06 13:28:45.118628
-1,0,0,1,0,-2,0,-2,2021-08-06 13:28:45.126626
0,-1,-1,-2,-1,-1,-2,-1,2021-08-06 13:28:45.127627
0,-2,-2,-2,1,-2,-1,1,2021-08-06 13:28:45.141625
-1,-1,-4,-2,0,-1,0,-1,2021-08-06 13:28:45.142629
-1,-2,-1,-1,0,2,-1,-1,2021-08-06 13:28:45.142629
1,0,0,0,-2,-1,-1,-2,2021-08-06 13:28:45.143629
-1,0,-1,-1,-2,0,-1,0,2021-08-06 13:28:45.155625
0,-1,-2,-1,0,1,0,0,2021-08-06 13:28:45.156629
0,-1,-1,0,0,-1,-1,1,2021-08-06 13:28:45.163626
-1,-1,-3,-1,0,-1,-3,0,2021-08-06 13:28:45.163626
-1,1,-1,0,0,0,0,-1,2021-08-06 13:28:45.180628
-2,-2,0,-1,-1,-1,0,-3,2021-08-06 13:28:45.180628
0,0,1,0,-2,-1,-1,-1,2021-08-06 13:28:45.186628
-2,-1,0,0,0,0,-1,1,2021-08-06 13:28:45.187629
1,0,0,-2,0,0,1,-1,2021-08-06 13:28:45.201628
0,-1,-1,-1,0,-1,-1,0,2021-08-06 13:28:45.202628
-1,0,-2,-1,0,-1,-2,-1,2021-08-06 13:28:45.203629
-2,-1,-1,-3,0,-1,-1,0,2021-08-06 13:28:45.203629
-2,-2,0,0,0,0,0,0,2021-08-06 13:28:45.215626
-1,-1,0,-2,-2,0,-1,0,2021-08-06 13:28:45.216628
-1,-1,0,-1,0,-1,-1,-1,2021-08-06 13:28:45.223626
