EMG_Pod01,EMG_Pod02,EMG_Pod03,EMG_Pod04,EMG_Pod05,EMG_Pod06,EMG_Pod07,EMG_Pod08,Timestamp
2, 8, 5, 4, 6, 4, 2, 3, 2021-08-24 19:08:11.265162
-1, -1, 9, 2, 0, 2, -1, -1, 2021-08-24 19:08:11.266163
-2, -8, -20, -20, -2, -2, -2, -3, 2021-08-24 19:08:11.266163
12, 20, 30, 17, 4, 5, 3, 5, 2021-08-24 19:08:11.281162
-3, -3, 1, 15, 2, -2, -2, -3, 2021-08-24 19:08:11.281162
1, 3, -1, 2, 1, 0, 0, 1, 2021-08-24 19:08:11.282160
-5, -10, -14, -4, -2, -2, -6, -6, 2021-08-24 19:08:11.283160
10, 7, 2, -10, 0, 9, 9, 8, 2021-08-24 19:08:11.316154
-3, -8, 9, -1, 0, 1, 2, -1, 2021-08-24 19:08:11.316154
5, 11, 31, 19, 10, 3, 2, 3, 2021-08-24 19:08:11.341151
-5, -5, -11, -4, -6, -3, -4, -6, 2021-08-24 19:08:11.342148
2, -1, -22, -5, -2, -3, -2, 0, 2021-08-24 19:08:11.342148
-7, -11, -28, -32, -11, -9, -6, -8, 2021-08-24 19:08:11.342148
3, 1, 11, 15, 0, 0, 3, 2, 2021-08-24 19:08:11.343149
-6, -5, 6, -1, -3, -5, -3, -4, 2021-08-24 19:08:11.344150
15, 19, 25, 16, 12, 11, 10, 11, 2021-08-24 19:08:11.347150
-24, -27, -20, -2, -6, -13, -13, -16, 2021-08-24 19:08:11.347150
0, 2, -10, -16, -3, -2, 1, 1, 2021-08-24 19:08:11.348148
-1, -5, -17, -9, -7, -2, 0, 0, 2021-08-24 19:08:11.349149
5, 5, 0, -2, 1, -1, 3, 4, 2021-08-24 19:08:11.362145
-4, 3, 6, -2, -2, -6, -8, -8, 2021-08-24 19:08:11.362145
-2, -2, 1, 5, 0, 1, 2, -1, 2021-08-24 19:08:11.369147
-2, 2, 14, -1, 1, -2, -4, -2, 2021-08-24 19:08:11.369147
8, 9, 8, -2, 0, 3, 6, 4, 2021-08-24 19:08:11.384143
3, -2, -15, -1, 0, 2, 4, 2, 2021-08-24 19:08:11.385144
-6, -11, -16, -1, -9, -4, -7, -8, 2021-08-24 19:08:11.385144
-3, -1, 10, -3, 3, -2, -3, 0, 2021-08-24 19:08:11.385144
-4, -4, 3, 1, -4, -6, -8, -7, 2021-08-24 19:08:11.399154
9, 6, -5, -6, 5, 7, 7, 7, 2021-08-24 19:08:11.400139
3, 4, 11, 10, -2, -2, -2, -1, 2021-08-24 19:08:11.400139
2, 1, 4, 15, 3, 0, 0, -1, 2021-08-24 19:08:11.400139
-7, -7, -10, -6, 1, 2, 0, -4, 2021-08-24 19:08:11.421135
-5, -7, 6, 7, -2, -2, -2, -2, 2021-08-24 19:08:11.422138
5, 5, -5, -15, -2, 2, 2, 3, 2021-08-24 19:08:11.422138
9, 11, -22, -13, 0, -2, 3, 6, 2021-08-24 19:08:11.422138
-25, -30, -14, 5, -8, -11, -14, -17, 2021-08-24 19:08:11.444129
-2, -2, 27, 8, 3, -2, 0, -1, 2021-08-24 19:08:11.444129
9, 11, 6, 5, 5, 6, 7, 7, 2021-08-24 19:08:11.445130
5, 6, 4, -3, 1, 5, 3, 3, 2021-08-24 19:08:11.445130
5, 4, -21, -12, -1, 2, 3, 3, 2021-08-24 19:08:11.466126
-4, -8, -12, 0, -7, -4, -3, 1, 2021-08-24 19:08:11.467126
-12, -6, 0, -3, -5, -9, -9, -11, 2021-08-24 19:08:11.467126
0, 1, 21, 15, 8, 6, 3, 1, 2021-08-24 19:08:11.467126
-2, -2, -6, -12, -10, -7, -5, -1, 2021-08-24 19:08:11.481123
3, 3, -13, -13, 3, 3, 1, 3, 2021-08-24 19:08:11.482125
3, 5, 2, 2, -3, 1, 3, 3, 2021-08-24 19:08:11.482125
-3, -5, -16, -13, -3, -4, -4, -4, 2021-08-24 19:08:11.483125
0, 3, 35, 28, -1, 0, 1, 2, 2021-08-24 19:08:11.504119
10, 13, 37, 18, 14, 6, 5, 5, 2021-08-24 19:08:11.504119
8, 3, -35, -17, 4, 9, 5, 5, 2021-08-24 19:08:11.504119
2, -3, -25, -3, -5, -1, 0, 1, 2021-08-24 19:08:11.505118
-31, -35, -11, -10, -8, -14, -16, -21, 2021-08-24 19:08:11.519117
4, 12, 23, 9, 5, 4, 4, 4, 2021-08-24 19:08:11.519117
0, 4, 14, 10, 2, -3, -4, -1, 2021-08-24 19:08:11.519117
-4, -6, -11, -9, -6, -2, -3, -4, 2021-08-24 19:08:11.520116
16, 13, -16, -15, -2, 3, 3, 6, 2021-08-24 19:08:11.543112
-8, -8, -11, -5, -6, -3, -5, -6, 2021-08-24 19:08:11.543112
-8, -11, 2, -1, 0, -2, -2, -5, 2021-08-24 19:08:11.544112
1, 5, 8, 5, -3, -3, 0, 4, 2021-08-24 19:08:11.544112
-1, 1, -4, 1, 12, 6, 0, -2, 2021-08-24 19:08:11.564108
-1, -1, -5, -12, -14, -7, -6, -5, 2021-08-24 19:08:11.564108
1, 1, 11, 7, -1, -1, -1, 0, 2021-08-24 19:08:11.565110
-1, -3, 1, 8, 1, 0, 1, 0, 2021-08-24 19:08:11.565110
23, 28, 15, 9, 14, 15, 14, 17, 2021-08-24 19:08:11.580106
-20, -30, -34, -17, -18, -14, -12, -16, 2021-08-24 19:08:11.581105
-11, -12, -21, -14, -3, -9, -10, -7, 2021-08-24 19:08:11.581105
-5, -2, 16, 2, -4, -3, -2, -2, 2021-08-24 19:08:11.581105
5, 7, 31, 28, 3, 4, 1, 5, 2021-08-24 19:08:11.601101
21, 24, -1, -16, 9, 14, 12, 15, 2021-08-24 19:08:11.601101
-6, -8, -5, 9, -6, -7, -2, -6, 2021-08-24 19:08:11.609098
-6, -5, 14, 10, -2, -1, -3, -5, 2021-08-24 19:08:11.609098
2, 2, -16, 0, 3, 2, 3, 2, 2021-08-24 19:08:11.624096
-1, -1, -2, 9, 2, -3, -2, -2, 2021-08-24 19:08:11.624096
-2, -1, 0, -13, -3, -1, -1, 0, 2021-08-24 19:08:11.625096
-2, -4, -16, -16, -2, -1, -3, -2, 2021-08-24 19:08:11.625096
-6, -4, 6, -3, -6, -5, -3, -3, 2021-08-24 19:08:11.646093
-1, -2, -1, -3, -2, -1, -3, -1, 2021-08-24 19:08:11.647094
-1, -3, -9, -6, -2, -1, 0, -1, 2021-08-24 19:08:11.647094
-2, 0, 0, 1, 1, -1, 0, -1, 2021-08-24 19:08:11.647094
-3, -2, 7, 0, -5, -4, -1, -2, 2021-08-24 19:08:11.661088
1, 3, 1, 6, 7, 3, 2, 2, 2021-08-24 19:08:11.661088
1, -6, -29, -28, -10, -3, -4, -2, 2021-08-24 19:08:11.669087
-14, -20, -17, -20, 2, -9, -8, -7, 2021-08-24 19:08:11.669087
-10, -6, 30, 31, -3, -3, -5, -6, 2021-08-24 19:08:11.684086
18, 28, 30, 52, 24, 16, 11, 10, 2021-08-24 19:08:11.684086
26, 32, 36, 33, 13, 18, 15, 16, 2021-08-24 19:08:11.685087
1, -2, -21, -22, -9, 0, 1, -3, 2021-08-24 19:08:11.685087
-9, -17, -39, -47, -11, -10, -4, -6, 2021-08-24 19:08:11.706081
-16, -19, -9, -13, -10, -12, -10, -9, 2021-08-24 19:08:11.707081
-9, -10, -1, -1, -4, -7, -6, -4, 2021-08-24 19:08:11.707081
0, -1, 0, -1, 2, 2, 1, 2, 2021-08-24 19:08:11.707081
-1, 0, -6, -6, 0, 1, -1, 0, 2021-08-24 19:08:11.729340
-1, -4, -3, -3, -7, -4, -2, -1, 2021-08-24 19:08:11.729340
-3, -1, 5, -1, 2, -2, -5, -2, 2021-08-24 19:08:11.730076
4, 6, 11, 10, 1, 2, -1, 1, 2021-08-24 19:08:11.730076
4, 5, 0, 4, 4, 2, 0, 2, 2021-08-24 19:08:11.743595
-1, -1, -8, -10, -4, 1, 0, 0, 2021-08-24 19:08:11.744593
-3, -5, 4, -2, -1, -2, -2, -3, 2021-08-24 19:08:11.744593
-1, 0, 6, 12, 0, -2, -1, -2, 2021-08-24 19:08:11.744593
3, 3, -10, -6, -2, 1, 0, 1, 2021-08-24 19:08:11.766590
-2, -1, -6, -9, -3, -1, -2, 1, 2021-08-24 19:08:11.766590
-6, -2, 6, 5, -2, -3, -3, -3, 2021-08-24 19:08:11.766590
